  FASES DA LUA (2000-2010)
  Fonte: U.S. Naval Observatory - Astronomical Applications Department
  Site: http://aa.usno.navy.mil/data/docs/MoonPhase.html

                                                   Hora média da 1ª m   04:05
                                                   Tempo médio entre  06:12:30

        DATA / HORA
         UNIVERSAL            BRASÍLIA - BRASIL           DATA          FASE
      02/11/2005 01:24        01/11/2005 22:24         01/11/2005       nova
      09/11/2005 01:57        08/11/2005 22:57         08/11/2005       cresc
      16/11/2005 00:57        15/11/2005 21:57         15/11/2005       cheia
      23/11/2005 22:11        23/11/2005 19:11         23/11/2005       ming
      01/12/2005 15:01        01/12/2005 12:01         01/12/2005       nova
      08/12/2005 09:36        08/12/2005 06:36         08/12/2005       cresc
      15/12/2005 16:15        15/12/2005 13:15         15/12/2005       cheia
      23/12/2005 19:36        23/12/2005 16:36         23/12/2005       ming
      31/12/2005 03:12        31/12/2005 00:12         31/12/2005       nova
      06/01/2006 18:56        06/01/2006 15:56         06/01/2006       cresc
      14/01/2006 09:48        14/01/2006 06:48         14/01/2006       cheia
      22/01/2006 15:14        22/01/2006 12:14         22/01/2006       ming
      29/01/2006 14:15        29/01/2006 11:15         29/01/2006       nova
      05/02/2006 06:29        05/02/2006 03:29         05/02/2006       cresc
      13/02/2006 04:44        13/02/2006 01:44         13/02/2006       cheia
      21/02/2006 07:17        21/02/2006 04:17         21/02/2006       ming
      28/02/2006 00:31        27/02/2006 21:31         27/02/2006       nova
      06/03/2006 20:16        06/03/2006 17:16         06/03/2006       cresc
      14/03/2006 23:35        14/03/2006 20:35         14/03/2006       cheia
      22/03/2006 19:11        22/03/2006 16:11         22/03/2006       ming
      29/03/2006 10:15        29/03/2006 07:15         29/03/2006       nova
      05/04/2006 12:01        05/04/2006 09:01         05/04/2006       cresc
      13/04/2006 16:40        13/04/2006 13:40         13/04/2006       cheia   *
      21/04/2006 03:28        21/04/2006 00:28         21/04/2006       ming
      27/04/2006 19:44        27/04/2006 16:44         27/04/2006       nova
      05/05/2006 05:13        05/05/2006 02:13         05/05/2006       cresc
      13/05/2006 06:51        13/05/2006 03:51         13/05/2006       cheia
      20/05/2006 09:21        20/05/2006 06:21         20/05/2006       ming
      27/05/2006 05:26        27/05/2006 02:26         27/05/2006       nova
      03/06/2006 23:06        03/06/2006 20:06         03/06/2006       cresc
      11/06/2006 18:03        11/06/2006 15:03         11/06/2006       cheia
      18/06/2006 14:08        18/06/2006 11:08         18/06/2006       ming
      25/06/2006 16:05        25/06/2006 13:05         25/06/2006       nova
      03/07/2006 16:37        03/07/2006 13:37         03/07/2006       cresc
      11/07/2006 03:02        11/07/2006 00:02         11/07/2006       cheia
      17/07/2006 19:13        17/07/2006 16:13         17/07/2006       ming
      25/07/2006 04:31        25/07/2006 01:31         25/07/2006       nova
      02/08/2006 08:46        02/08/2006 05:46         02/08/2006       cresc
      09/08/2006 10:54        09/08/2006 07:54         09/08/2006       cheia
      16/08/2006 01:51        15/08/2006 22:51         15/08/2006       ming
      23/08/2006 19:10        23/08/2006 16:10         23/08/2006       nova
      31/08/2006 22:57        31/08/2006 19:57         31/08/2006       cresc
      07/09/2006 18:42        07/09/2006 15:42         07/09/2006       cheia
      14/09/2006 11:15        14/09/2006 08:15         14/09/2006       ming
      22/09/2006 11:45        22/09/2006 08:45         22/09/2006       nova
      30/09/2006 11:04        30/09/2006 08:04         30/09/2006       cresc
      07/10/2006 03:13        07/10/2006 00:13         07/10/2006       cheia
      14/10/2006 00:26        13/10/2006 21:26         13/10/2006       ming
      22/10/2006 05:14        22/10/2006 02:14         22/10/2006       nova
      29/10/2006 21:25        29/10/2006 18:25         29/10/2006       cresc
      05/11/2006 12:58        05/11/2006 09:58         05/11/2006       cheia
      12/11/2006 17:45        12/11/2006 14:45         12/11/2006       ming
      20/11/2006 22:18        20/11/2006 19:18         20/11/2006       nova
